Date,Open,High,Low,Close,Adj Close,Volume
15/8/2005,660,667.22998,656.289978,665.640015,665.640015,15628800
16/8/2005,665.640015,665.640015,654.48999,654.609985,654.609985,18204100
17/8/2005,654.609985,658.359985,652.409973,654.820007,654.820007,18591500
18/8/2005,654.820007,654.820007,648.820007,651.190002,651.190002,18081700
19/8/2005,651.190002,654.099976,650.710022,652.51001,652.51001,15587900
22/8/2005,652.51001,657.469971,652.280029,657.469971,657.469971,16213300
23/8/2005,657.469971,658.619995,652.210022,655.469971,655.469971,16786200
24/8/2005,655.469971,662.309998,652.72998,655.01001,655.01001,19308000
25/8/2005,655.01001,659.109985,654.98999,657.700012,657.700012,15711100
26/8/2005,657.700012,657.700012,648.01001,648.640015,648.640015,15410900
29/8/2005,648.640015,655.320007,645.380005,655.320007,655.320007,15994500
30/8/2005,655.320007,655.320007,650.380005,653.76001,653.76001,19164700
31/8/2005,653.76001,666.530029,652.72998,666.51001,666.51001,23655100
1/9/2005,666.51001,670.52002,665.190002,668.450012,668.450012,22298600
2/9/2005,668.450012,668.710022,662.280029,663.330017,663.330017,16401600
6/9/2005,663.330017,674.48999,663.330017,674.47998,674.47998,19320900
7/9/2005,674.47998,677.320007,672.049988,677.320007,677.320007,20677000
8/9/2005,677.320007,677.320007,670.73999,673.469971,673.469971,19553800
9/9/2005,673.469971,678.049988,673.469971,678.049988,678.049988,19925600
12/9/2005,678.049988,682.48999,676.099976,680.820007,680.820007,19380500
13/9/2005,680.820007,680.820007,672.380005,673.130005,673.130005,20823600
14/9/2005,673.130005,675.460022,665.859985,666.349976,666.349976,19867500
15/9/2005,666.349976,668.619995,663.869995,665.419983,665.419983,20793400
16/9/2005,665.419983,671.98999,665.419983,671.97998,671.97998,31524700
19/9/2005,671.97998,672.460022,666.049988,667.02002,667.02002,20765400
20/9/2005,667.02002,670.690002,658.950012,660.630005,660.630005,23192500
21/9/2005,660.630005,660.630005,649.940002,649.940002,649.940002,25481500
22/9/2005,649.940002,652.820007,644.73999,651.159973,651.159973,24247200
23/9/2005,651.159973,656.559998,647.070007,655.460022,655.460022,19730200
26/9/2005,655.460022,662.140015,655.460022,660.200012,660.200012,20222200
27/9/2005,660.200012,662.27002,654.700012,659.169983,659.169983,19762700
